iter	Passed	Remaining
767	8316	2512
768	8332	2503
769	8352	2495
770	8365	2484
771	8376	2473
772	8387	2463
773	8397	2452
774	8408	2441
775	8419	2430
776	8430	2419
777	8440	2408
778	8451	2397
779	8461	2386
780	8472	2375
781	8483	2365
782	8494	2354
783	8504	2343
784	8515	2332
785	8524	2321
786	8535	2310
787	8546	2299
788	8557	2288
789	8567	2277
790	8577	2266
791	8588	2255
792	8601	2245
793	8611	2234
794	8622	2223
795	8632	2212
796	8642	2201
797	8652	2190
798	8663	2179
799	8673	2168
800	8683	2157
801	8693	2146
802	8704	2135
803	8714	2124
804	8725	2113
805	8736	2102
806	8746	2091
807	8756	2080
808	8766	2069
809	8777	2058
810	8788	2048
811	8799	2037
812	8809	2026
813	8820	2015
814	8830	2004
815	8840	1993
816	8851	1982
817	8862	1971
818	8873	1961
819	8884	1950
820	8895	1939
821	8906	1928
822	8917	1917
823	8928	1906
824	8938	1896
825	8948	1885
826	8958	1874
827	8968	1863
828	8979	1852
829	8988	1841
830	8999	1830
831	9008	1819
832	9019	1808
833	9029	1797
834	9041	1786
835	9052	1775
836	9062	1764
837	9073	1754
838	9084	1743
839	9093	1732
840	9104	1721
841	9114	1710
842	9124	1699
843	9135	1688
844	9144	1677
845	9155	1666
846	9166	1655
847	9176	1644
848	9186	1633
849	9197	1623
850	9207	1612
851	9217	1601
852	9228	1590
853	9238	1579
854	9248	1568
855	9258	1557
856	9269	1546
857	9278	1535
858	9289	1524
859	9299	1513
860	9314	1503
861	9334	1494
862	9349	1484
863	9360	1473
864	9371	1462
865	9381	1451
866	9392	1440
867	9402	1429
868	9412	1418
869	9423	1408
870	9434	1397
871	9444	1386
872	9454	1375
873	9465	1364
874	9476	1353
875	9486	1342
876	9497	1332
877	9506	1320
878	9517	1310
879	9528	1299
880	9539	1288
881	9549	1277
882	9560	1266
883	9571	1255
884	9581	1245
885	9590	1234
886	9600	1223
887	9611	1212
888	9622	1201
889	9633	1190
890	9644	1179
891	9654	1168
892	9665	1158
893	9675	1147
894	9686	1136
895	9697	1125
896	9708	1114
897	9719	1103
898	9729	1093
899	9740	1082
900	9751	1071
901	9762	1060
902	9772	1049
903	9783	1039
904	9793	1028
905	9803	1017
906	9815	1006
907	9825	995
908	9835	984
909	9846	973
910	9857	962
911	9867	952
912	9879	941
913	9888	930
914	9899	919
915	9909	908
916	9920	897
917	9930	887
918	9941	876
919	9952	865
920	9962	854
921	9973	843
922	9982	832
923	9992	821
924	10003	811
925	10013	800
926	10024	789
927	10035	778
928	10046	767
929	10057	757
930	10068	746
931	10079	735
932	10092	724
933	10103	713
934	10113	703
935	10123	692
936	10132	681
937	10142	670
938	10153	659
939	10164	648
940	10175	637
941	10185	627
942	10196	616
943	10206	605
944	10217	594
945	10227	583
946	10237	572
947	10248	562
948	10258	551
949	10269	540
950	10278	529
951	10289	518
952	10298	507
953	10311	497
954	10331	486
955	10346	476
956	10357	465
957	10368	454
958	10377	443
959	10387	432
960	10398	421
961	10408	411
962	10418	400
963	10429	389
964	10440	378
965	10450	367
966	10460	356
967	10471	346
968	10482	335
969	10493	324
970	10503	313
971	10513	302
972	10524	292
973	10535	281
974	10545	270
975	10556	259
976	10566	248
977	10577	237
978	10587	227
979	10597	216
980	10608	205
981	10618	194
982	10629	183
983	10640	173
984	10652	162
985	10662	151
986	10672	140
987	10681	129
988	10692	118
989	10703	108
990	10714	97
991	10725	86
992	10735	75
993	10746	64
994	10756	54
995	10767	43
996	10778	32
997	10789	21
998	10799	10
999	10810	0
